president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Voters,1/13/2021,40.262063,46.098363,34.425762,55.89612,60.607554,51.184686,14:21:54 13 Jan 2021
Donald Trump,Adults,1/13/2021,39.543443,43.3262,35.760685,56.311369,60.76541,51.857329,14:18:33 13 Jan 2021
Donald Trump,All polls,1/13/2021,40.01021,45.9132,34.10722,55.823384,60.676591,50.970176,14:16:56 13 Jan 2021
Donald Trump,Voters,1/12/2021,40.862447,46.985174,34.73972,55.446709,60.302819,50.590599,16:10:58 12 Jan 2021
Donald Trump,Adults,1/12/2021,39.734572,43.804521,35.664623,56.065933,60.824998,51.306869,16:07:43 12 Jan 2021
Donald Trump,All polls,1/12/2021,40.545568,46.753659,34.337478,55.247232,60.274997,50.219467,16:06:06 12 Jan 2021
Donald Trump,Adults,1/11/2021,39.891286,43.794754,35.987817,55.908159,60.505389,51.31093,20:02:37 11 Jan 2021
Donald Trump,Voters,1/11/2021,40.973057,47.577537,34.368576,54.850411,60.016612,49.68421,20:05:49 11 Jan 2021
Donald Trump,All polls,1/11/2021,40.746526,47.384165,34.108887,54.742086,60.05388,49.430291,20:00:56 11 Jan 2021
Donald Trump,Voters,1/10/2021,42.397032,47.760419,37.033645,53.798925,58.585769,49.012081,09:16:41 11 Jan 2021
Donald Trump,All polls,1/10/2021,41.858315,47.603484,36.113145,53.96632,58.790356,49.142283,09:00:45 11 Jan 2021
Donald Trump,Adults,1/10/2021,40.179683,43.938795,36.420571,55.653376,60.117623,51.189128,09:08:47 11 Jan 2021
Donald Trump,Adults,1/9/2021,40.179683,43.938805,36.420562,55.653376,60.117632,51.18912,09:10:24 11 Jan 2021
Donald Trump,All polls,1/9/2021,41.858315,47.603482,36.113147,53.96632,58.790356,49.142283,09:05:33 11 Jan 2021
Donald Trump,Voters,1/9/2021,42.397032,47.760402,37.033661,53.798925,58.585775,49.012074,09:19:51 11 Jan 2021
Donald Trump,All polls,1/8/2021,41.858315,47.603485,36.113144,53.96632,58.790355,49.142284,18:59:52  8 Jan 2021
Donald Trump,Adults,1/8/2021,40.179683,43.938786,36.420581,55.653376,60.117616,51.189135,19:01:30  8 Jan 2021
Donald Trump,Voters,1/8/2021,42.397032,47.760418,37.033645,53.798925,58.585776,49.012074,19:04:42  8 Jan 2021
Donald Trump,Adults,1/7/2021,40.684664,44.496962,36.872366,54.833015,59.426651,50.239379,14:50:28  7 Jan 2021
Donald Trump,Voters,1/7/2021,43.018708,48.378496,37.65892,52.827234,57.492637,48.161831,14:53:40  7 Jan 2021
Donald Trump,All polls,1/7/2021,42.378777,48.149593,36.607961,53.244454,57.751846,48.737061,14:48:50  7 Jan 2021
Donald Trump,Voters,1/6/2021,43.419193,48.501101,38.337285,52.533387,56.967113,48.099662,14:58:00  6 Jan 2021
